,LLH,energy_res,ident,ts,conv,phi_astro,gamma,delta_ts
196,local,baseline,IceCube,-307071.99172409985,1.0146805380827553,0.75,3.349999999999998,1.785629726946354
197,local,baseline,IceCube,-307071.7078256953,1.0144208009018116,0.75,3.3999999999999977,2.069528131512925
198,local,baseline,IceCube,-307071.43316836515,1.0140108187304742,0.75,3.4499999999999975,2.3441854616394266
199,local,baseline,IceCube,-307071.17283060227,1.0134416245367561,0.75,3.4999999999999973,2.604523224523291
200,local,baseline,IceCube,-307070.9298015864,1.0127113283160616,0.75,3.549999999999997,2.847552240418736
201,local,baseline,IceCube,-307070.7053551735,1.0118253388920406,0.75,3.599999999999997,3.0719986532931216
202,local,baseline,IceCube,-307070.4993335325,1.0107790232409597,0.75,3.649999999999997,3.278020294266753
203,local,baseline,IceCube,-307070.31035790546,1.0095655960874823,0.75,3.6999999999999966,3.466995921335183
204,local,baseline,IceCube,-307070.13597973116,1.0081828447553676,0.75,3.7499999999999964,3.6413740956340916
205,local,baseline,IceCube,-307069.9727814768,1.0066209764291143,0.75,3.7999999999999963,3.804572349996306
206,local,baseline,IceCube,-307069.816433304,1.0048804799018993,0.75,3.849999999999996,3.960920522804372
207,local,baseline,IceCube,-307069.6617094413,1.0029502416751381,0.75,3.899999999999996,4.115644385514315
208,local,baseline,IceCube,-307069.502465878,1.0008185393871825,0.75,3.9499999999999957,4.274887948820833
209,local,baseline,IceCube,-307062.84763731237,0.9987184744985962,0.7999999999999999,2.7,10.92971651442349
210,local,baseline,IceCube,-307066.35639640316,1.0010387521972837,0.7999999999999999,2.75,7.4209574236301705
211,local,baseline,IceCube,-307068.8838087099,1.0030916474559808,0.7999999999999999,2.8,4.893545116879977
212,local,baseline,IceCube,-307070.66390753794,1.0048827258999706,0.7999999999999999,2.8499999999999996,3.1134462888585404
213,local,baseline,IceCube,-307071.8766489042,1.006441002879021,0.7999999999999999,2.8999999999999995,1.900704922620207
214,local,baseline,IceCube,-307072.66080593626,1.0077820343050046,0.7999999999999999,2.9499999999999993,1.1165478905313648
215,local,baseline,IceCube,-307073.1236130986,1.008913096884275,0.7999999999999999,2.999999999999999,0.6537407282157801
216,local,baseline,IceCube,-307073.34802723414,1.0098404072676568,0.7999999999999999,3.049999999999999,0.42932659265352413
217,local,baseline,IceCube,-307073.3982268354,1.0105808380273409,0.7999999999999999,3.0999999999999988,0.37912699137814343
218,local,baseline,IceCube,-307073.3238001177,1.01113930406274,0.7999999999999999,3.1499999999999986,0.4535537090850994
219,local,baseline,IceCube,-307073.162949851,1.0115222772473091,0.7999999999999999,3.1999999999999984,0.6144039757782593
220,local,baseline,IceCube,-307072.9449564301,1.01173033364464,0.7999999999999999,3.2499999999999982,0.8323973966762424
221,local,baseline,IceCube,-307072.69207759027,1.0117735339904077,0.7999999999999999,3.299999999999998,1.0852762365248054
222,local,baseline,IceCube,-307072.4210176667,1.0116504219426712,0.7999999999999999,3.349999999999998,1.3563361600972712
223,local,baseline,IceCube,-307072.1440660045,1.0113652881323962,0.7999999999999999,3.3999999999999977,1.6332878223038279
224,local,baseline,IceCube,-307071.8699793777,1.010920785205997,0.7999999999999999,3.4499999999999975,1.9073744490742683
225,local,baseline,IceCube,-307071.6046653198,1.0103087066739973,0.7999999999999999,3.4999999999999973,2.1726885070092976
226,local,baseline,IceCube,-307071.351709403,1.009531087695729,0.7999999999999999,3.549999999999997,2.425644423812628
227,local,baseline,IceCube,-307071.112779376,1.0085859817806822,0.7999999999999999,3.599999999999997,2.664574450813234
228,local,baseline,IceCube,-307070.88793127844,1.0074731902807683,0.7999999999999999,3.649999999999997,2.8894225483527407
229,local,baseline,IceCube,-307070.6758364573,1.0061878395374884,0.7999999999999999,3.6999999999999966,3.101517369505018
230,local,baseline,IceCube,-307070.4739437981,1.004721635511855,0.7999999999999999,3.7499999999999964,3.303410028689541
231,local,baseline,IceCube,-307070.27858734346,1.0030735252949363,0.7999999999999999,3.7999999999999963,3.498766483331565
232,local,baseline,IceCube,-307070.085046279,1.0012297234263097,0.7999999999999999,3.849999999999996,3.6923075477825478
233,local,baseline,IceCube,-307069.8875612604,0.9991898210756822,0.7999999999999999,3.899999999999996,3.8897925664205104
234,local,baseline,IceCube,-307069.6793093975,0.9969463409842149,0.7999999999999999,3.9499999999999957,4.098044429265428
235,local,baseline,IceCube,-307061.1677164205,0.9954523043347817,0.8499999999999999,2.7,12.60963740630541
236,local,baseline,IceCube,-307065.12204987154,0.9978370053159784,0.8499999999999999,2.75,8.655303955252748
237,local,baseline,IceCube,-307068.00525005045,0.9999494545457916,0.8499999999999999,2.8,5.772103776340373
238,local,baseline,IceCube,-307070.06938015507,1.001795095949131,0.8499999999999999,2.8499999999999996,3.707973671727814
239,local,baseline,IceCube,-307071.5085813912,1.0033976645673957,0.8499999999999999,2.8999999999999995,2.2687724356073886
240,local,baseline,IceCube,-307072.47284129314,1.0047706034110089,0.8499999999999999,2.9499999999999993,1.3045125336502679
241,local,baseline,IceCube,-307073.0782977579,1.005925882772368,0.8499999999999999,2.999999999999999,0.6990560689009726
242,local,baseline,IceCube,-307073.4150014018,1.006877950005795,0.8499999999999999,3.049999999999999,0.362352424999699
243,local,baseline,IceCube,-307073.5527985016,1.007632531342628,0.8499999999999999,3.0999999999999988,0.22455532517051324
244,local,baseline,IceCube,-307073.54581413395,1.0081966945868452,0.8499999999999999,3.1499999999999986,0.23153969284612685
245,local,baseline,IceCube,-307073.435885346,1.008577463249467,0.8499999999999999,3.1999999999999984,0.3414684807648882
246,local,baseline,IceCube,-307073.25520159496,1.008783078689657,0.8499999999999999,3.2499999999999982,0.5221522318315692
247,local,baseline,IceCube,-307073.0283427419,1.0088109390762012,0.8499999999999999,3.299999999999998,0.7490110849030316
248,local,baseline,IceCube,-307072.77385642426,1.0086702066379263,0.8499999999999999,3.349999999999998,1.0034974025329575
249,local,baseline,IceCube,-307072.5054810066,1.0083562816271565,0.8499999999999999,3.3999999999999977,1.271872820216231
250,local,baseline,IceCube,-307072.2330940896,1.0078712441086888,0.8499999999999999,3.4499999999999975,1.5442597371875308
251,local,baseline,IceCube,-307071.9634472754,1.0072157052489101,0.8499999999999999,3.4999999999999973,1.81390655139694
252,local,baseline,IceCube,-307071.70073321473,1.006393533525886,0.8499999999999999,3.549999999999997,2.076620612060651
253,local,baseline,IceCube,-307071.4470200364,1.00539231528074,0.8499999999999999,3.599999999999997,2.330333790392615
254,local,baseline,IceCube,-307071.2025800367,1.0042145109975824,0.8499999999999999,3.649999999999997,2.574773790081963
255,local,baseline,IceCube,-307070.966133008,1.0028571055714406,0.8499999999999999,3.6999999999999966,2.811220818781294
256,local,baseline,IceCube,-307070.7350195164,1.0013064570059573,0.8499999999999999,3.7499999999999964,3.042334310419392
257,local,baseline,IceCube,-307070.50531427725,0.999593317848441,0.8499999999999999,3.7999999999999963,3.2720395495416597
258,local,baseline,IceCube,-307070.27189310646,0.9976330648506703,0.8499999999999999,3.849999999999996,3.5054607203346677
259,local,baseline,IceCube,-307070.0284412237,0.9954825125819544,0.8499999999999999,3.899999999999996,3.748912603070494
260,local,baseline,IceCube,-307069.76743268047,0.9931175881707579,0.8499999999999999,3.9499999999999957,4.009921146323904
261,local,baseline,IceCube,-307059.33601237985,0.9922401180991238,0.8999999999999999,2.7,14.441341446945444
262,local,baseline,IceCube,-307063.7472937945,0.9946967150667348,0.8999999999999999,2.75,10.030060032266192
