,Year,dec,dec_label,era,dp_flux,sigma,scaled_flux
151,2044,0,0°,Plenum-1,1.1093098674510657e-14,3,1.1093098674510657
152,2044,0,0°,Plenum-2,8.726194556386086e-15,3,0.8726194556386087
153,2044,0,0°,Plenum-3,5.231164606642076e-15,3,0.5231164606642076
154,2044,30,30°,IceCube,1.0704992958122456e-14,3,1.0704992958122457
155,2044,30,30°,Plenum-1,9.14767037557656e-15,3,0.9147670375576559
156,2044,30,30°,Plenum-2,5.893752733490202e-15,3,0.5893752733490202
157,2044,30,30°,Plenum-3,4.824974753763876e-15,3,0.4824974753763876
158,2045,-30,-30°,Plenum-1,1.1889729095882449e-14,3,1.1889729095882449
159,2045,-30,-30°,Plenum-2,1.1889729095882449e-14,3,1.1889729095882449
160,2045,-30,-30°,Plenum-3,4.776142440247596e-15,3,0.47761424402475955
161,2045,0,0°,IceCube,1.943733818938149e-14,3,1.943733818938149
162,2045,0,0°,Plenum-1,1.080593488310147e-14,3,1.080593488310147
163,2045,0,0°,Plenum-2,8.411986072886339e-15,3,0.8411986072886339
164,2045,0,0°,Plenum-3,4.7963515270038665e-15,3,0.47963515270038665
165,2045,30,30°,IceCube,1.053813178368007e-14,3,1.053813178368007
166,2045,30,30°,Plenum-1,8.969610405864672e-15,3,0.8969610405864672
167,2045,30,30°,Plenum-2,5.662912609443305e-15,3,0.5662912609443305
168,2045,30,30°,Plenum-3,4.521395603105012e-15,3,0.45213956031050123
169,2046,-30,-30°,Plenum-1,1.153156155104486e-14,3,1.153156155104486
170,2046,-30,-30°,Plenum-2,1.153156155104486e-14,3,1.153156155104486
171,2046,-30,-30°,Plenum-3,4.3943261548640174e-15,3,0.4394326154864017
172,2046,0,0°,IceCube,1.914903558449625e-14,3,1.914903558449625
173,2046,0,0°,Plenum-1,1.0539534693151373e-14,3,1.0539534693151373
174,2046,0,0°,Plenum-2,8.129078763955159e-15,3,0.8129078763955159
175,2046,0,0°,Plenum-3,4.4537634623547184e-15,3,0.44537634623547184
176,2046,30,30°,IceCube,1.0378597971149059e-14,3,1.037859797114906
177,2046,30,30°,Plenum-1,8.80134147846075e-15,3,0.880134147846075
178,2046,30,30°,Plenum-2,5.45677747315479e-15,3,0.5456777473154789
179,2046,30,30°,Plenum-3,4.267787549954697e-15,3,0.4267787549954697
180,2047,-30,-30°,Plenum-1,1.1203222022750002e-14,3,1.1203222022750001
181,2047,-30,-30°,Plenum-2,1.1203222022750002e-14,3,1.1203222022750001
182,2047,-30,-30°,Plenum-3,4.090800518148243e-15,3,0.4090800518148243
183,2047,0,0°,IceCube,1.887291848918936e-14,3,1.8872918489189359
184,2047,0,0°,Plenum-1,1.0291421553640704e-14,3,1.0291421553640705
185,2047,0,0°,Plenum-2,7.872598550165449e-15,3,0.7872598550165449
186,2047,0,0°,Plenum-3,4.174813909121799e-15,3,0.4174813909121799
187,2047,30,30°,IceCube,1.0225876249732504e-14,3,1.0225876249732504
188,2047,30,30°,Plenum-1,8.641983252217958e-15,3,0.8641983252217957
189,2047,30,30°,Plenum-2,5.271256596061906e-15,3,0.5271256596061906
190,2047,30,30°,Plenum-3,4.052120639276692e-15,3,0.4052120639276692
191,2048,-30,-30°,Plenum-1,1.0900815482423951e-14,3,1.0900815482423951
192,2048,-30,-30°,Plenum-2,1.0900815482423951e-14,3,1.0900815482423951
193,2048,-30,-30°,Plenum-3,3.84211550689255e-15,3,0.384211550689255
194,2048,0,0°,IceCube,1.8608158350687143e-14,3,1.8608158350687143
195,2048,0,0°,Plenum-1,1.0059734975458277e-14,3,1.0059734975458277
196,2048,0,0°,Plenum-2,7.63868970220996e-15,3,0.763868970220996
197,2048,0,0°,Plenum-3,3.942113985493486e-15,3,0.3942113985493486
198,2048,30,30°,IceCube,1.0079499680275073e-14,3,1.0079499680275072
199,2048,30,30°,Plenum-1,8.4907698529968e-15,3,0.8490769852996799
200,2048,30,30°,Plenum-2,5.103146478633182e-15,3,0.5103146478633181
201,2048,30,30°,Plenum-3,3.8659753731956075e-15,3,0.38659753731956076
202,2049,-30,-30°,Plenum-1,1.0621115678791707e-14,3,1.0621115678791708
203,2049,-30,-30°,Plenum-2,1.0621115678791707e-14,3,1.0621115678791708
204,2049,-30,-30°,Plenum-3,3.6335228142470845e-15,3,0.36335228142470843
205,2049,0,0°,IceCube,1.8354003057454886e-14,3,1.8354003057454886
206,2049,0,0°,Plenum-1,9.842710928886275e-15,3,0.9842710928886275
207,2049,0,0°,Plenum-2,7.424223671501915e-15,3,0.7424223671501915
208,2049,0,0°,Plenum-3,3.7441339711127006e-15,3,0.37441339711127003
209,2049,30,30°,IceCube,9.939044773840001e-15,3,0.9939044773840001
210,2049,30,30°,Plenum-1,8.347073476497564e-15,3,0.8347073476497564
211,2049,30,30°,Plenum-2,4.94990482013423e-15,3,0.49499048201342305
212,2049,30,30°,Plenum-3,3.703082541238701e-15,3,0.3703082541238701
213,2050,-30,-30°,Plenum-1,1.0361452310555184e-14,3,1.0361452310555184
214,2050,-30,-30°,Plenum-2,1.0361452310555184e-14,3,1.0361452310555184
215,2050,-30,-30°,Plenum-3,3.4553067694052158e-15,3,0.3455306769405216
216,2050,0,0°,IceCube,1.8109769781955518e-14,3,1.8109769781955518
217,2050,0,0°,Plenum-1,9.638875065023447e-15,3,0.9638875065023447
218,2050,0,0°,Plenum-2,7.2266760323754e-15,3,0.7226676032375401
219,2050,0,0°,Plenum-3,3.5730477945616895e-15,3,0.35730477945616895
220,2050,30,30°,IceCube,9.804124580054067e-15,3,0.9804124580054068
221,2050,30,30°,Plenum-1,8.210278777716383e-15,3,0.8210278777716382
222,2050,30,30°,Plenum-2,4.8094678021880525e-15,3,0.48094678021880527
223,2050,30,30°,Plenum-3,3.558996139168698e-15,3,0.3558996139168698
224,2018,0,0°,IceCube,6.73713844300668e-14,5,6.737138443006679
225,2018,30,30°,IceCube,3.763503272867398e-14,5,3.763503272867398
226,2019,0,0°,IceCube,6.298618577543631e-14,5,6.298618577543631
227,2019,30,30°,IceCube,3.511464102867661e-14,5,3.5114641028676608
228,2020,0,0°,IceCube,5.932281450532134e-14,5,5.932281450532134
229,2020,30,30°,IceCube,3.3014279293626735e-14,5,3.3014279293626734
230,2021,0,0°,IceCube,5.620542437711852e-14,5,5.620542437711852
231,2021,30,30°,IceCube,3.123081070302964e-14,5,3.1230810703029643
232,2022,0,0°,IceCube,5.351240520668906e-14,5,5.351240520668906
233,2022,30,30°,IceCube,2.969311305107715e-14,5,2.9693113051077153
234,2023,0,0°,IceCube,5.116060342857997e-14,5,5.116060342857997
235,2023,30,30°,IceCube,2.8350401467110405e-14,5,2.8350401467110404
236,2024,0,0°,IceCube,4.9074969466518084e-14,5,4.907496946651809
237,2024,30,30°,IceCube,2.7165350632928127e-14,5,2.7165350632928127
238,2025,0,0°,IceCube,4.721714247158183e-14,5,4.721714247158183
239,2025,0,0°,Plenum-1,4.721714247158183e-14,5,4.721714247158183
240,2025,30,30°,IceCube,2.6109847414924388e-14,5,2.6109847414924388
241,2025,30,30°,Plenum-1,2.6109847414924388e-14,5,2.6109847414924388
242,2026,-30,-30°,Plenum-1,2.0111247009943215e-13,5,20.111247009943217
243,2026,0,0°,IceCube,4.5547483659639744e-14,5,4.554748365963975
244,2026,0,0°,Plenum-1,4.346168005972449e-14,5,4.346168005972449
245,2026,30,30°,IceCube,2.5162271092831114e-14,5,2.5162271092831117
246,2026,30,30°,Plenum-1,2.488502785982492e-14,5,2.488502785982492
247,2027,-30,-30°,Plenum-1,1.2691366827555508e-13,5,12.691366827555507
248,2027,0,0°,IceCube,4.4036315502667175e-14,5,4.403631550266717
249,2027,0,0°,Plenum-1,4.043811565661921e-14,5,4.043811565661921
250,2027,30,30°,IceCube,2.4305702247654264e-14,5,2.430570224765426
251,2027,30,30°,Plenum-1,2.381035970265247e-14,5,2.381035970265247
252,2028,-30,-30°,Plenum-1,9.80018319039528e-14,5,9.80018319039528
253,2028,0,0°,IceCube,4.266036550136618e-14,5,4.266036550136618
254,2028,0,0°,Plenum-1,3.7939692390435e-14,5,3.7939692390435
255,2028,30,30°,IceCube,2.352668435309006e-14,5,2.352668435309006
256,2028,30,30°,Plenum-1,2.2857843803113927e-14,5,2.2857843803113926
257,2029,-30,-30°,Plenum-1,7.002541706866901e-14,5,7.002541706866901
258,2029,0,0°,IceCube,4.140088904642102e-14,5,4.140088904642102
259,2029,0,0°,Plenum-1,3.487368275213993e-14,5,3.487368275213993
260,2029,30,30°,IceCube,2.2814367680432967e-14,5,2.2814367680432968
261,2029,30,30°,Plenum-1,2.18955618138519e-14,5,2.18955618138519
262,2030,-30,-30°,Plenum-1,5.6756602836233784e-14,5,5.675660283623379
263,2030,0,0°,IceCube,4.024252495984207e-14,5,4.024252495984207
264,2030,0,0°,Plenum-1,3.2418820933619166e-14,5,3.241882093361917
265,2030,30,30°,IceCube,2.215990159685285e-14,5,2.215990159685285
266,2030,30,30°,Plenum-1,2.1040748789717607e-14,5,2.104074878971761
267,2031,-30,-30°,Plenum-1,4.872394300228261e-14,5,4.872394300228262
268,2031,0,0°,IceCube,3.9172605773921915e-14,5,3.9172605773921916
269,2031,0,0°,Plenum-1,3.0398469322253434e-14,5,3.0398469322253434
270,2031,30,30°,IceCube,2.1555984302213088e-14,5,2.1555984302213087
271,2031,30,30°,Plenum-1,2.0274997478609697e-14,5,2.0274997478609698
272,2032,-30,-30°,Plenum-1,4.108470542888177e-14,5,4.108470542888177
273,2032,0,0°,IceCube,3.8180562492148926e-14,5,3.8180562492148926
274,2032,0,0°,Plenum-1,2.815735560409677e-14,5,2.815735560409677
275,2032,30,30°,IceCube,2.0996514987478914e-14,5,2.0996514987478916
