,Local source density,width,Fraction of total flux,E2flux,Nsrc,cumulative_Nsrc,flux
21,$10^{-7}$/Mpc$^3$,SC,1.0,-4.932885906040269,0.0,0.0,-8.532885906040269
22,$10^{-7}$/Mpc$^3$,SC,1.0,-5.1677852348993305,0.0,0.0,-8.76778523489933
23,$10^{-7}$/Mpc$^3$,SC,1.0,-5.402684563758392,0.0,0.0,-9.002684563758391
24,$10^{-7}$/Mpc$^3$,SC,1.0,-5.6375838926174495,0.0,0.0,-9.23758389261745
25,$10^{-7}$/Mpc$^3$,SC,1.0,-5.872483221476511,0.0,0.0,-9.47248322147651
26,$10^{-7}$/Mpc$^3$,SC,1.0,-6.107382550335572,0.0009249008992175268,0.0009249008992175268,-9.707382550335572
27,$10^{-7}$/Mpc$^3$,SC,1.0,-6.34228187919463,0.0,0.0009249008992175268,-9.94228187919463
28,$10^{-7}$/Mpc$^3$,SC,1.0,-6.577181208053691,0.0,0.0009249008992175268,-10.17718120805369
29,$10^{-7}$/Mpc$^3$,SC,1.0,-6.812080536912752,0.0,0.0009249008992175268,-10.412080536912752
30,$10^{-7}$/Mpc$^3$,SC,1.0,-7.046979865771814,0.00136299739872836,0.0022878982979458867,-10.646979865771813
31,$10^{-7}$/Mpc$^3$,SC,1.0,-7.281879194630875,0.0,0.0022878982979458867,-10.881879194630875
32,$10^{-7}$/Mpc$^3$,SC,1.0,-7.516778523489933,0.0022121116347115005,0.004500009932657387,-11.116778523489932
33,$10^{-7}$/Mpc$^3$,SC,1.0,-7.751677852348994,0.0033102176934536017,0.007810227626110989,-11.351677852348994
34,$10^{-7}$/Mpc$^3$,SC,1.0,-7.986577181208055,0.004631324953301198,0.012441552579412186,-11.586577181208055
35,$10^{-7}$/Mpc$^3$,SC,1.0,-8.221476510067113,0.006176561101424062,0.01861811368083625,-11.821476510067113
36,$10^{-7}$/Mpc$^3$,SC,1.0,-8.456375838926174,0.017890979926564715,0.03650909360740097,-12.056375838926174
37,$10^{-7}$/Mpc$^3$,SC,1.0,-8.691275167785236,0.04409371719861955,0.08060281080602051,-12.291275167785235
38,$10^{-7}$/Mpc$^3$,SC,1.0,-8.926174496644297,0.07032326349088802,0.15092607429690852,-12.526174496644296
39,$10^{-7}$/Mpc$^3$,SC,1.0,-9.161073825503358,0.1926298404837087,0.34355591478061726,-12.761073825503358
40,$10^{-7}$/Mpc$^3$,SC,1.0,-9.395973154362416,0.3127101596913173,0.6562660744719346,-12.995973154362416
41,$10^{-7}$/Mpc$^3$,SC,1.0,-9.630872483221477,0.6975345943298223,1.353800668801757,-13.230872483221477
42,$10^{-7}$/Mpc$^3$,SC,1.0,-9.865771812080538,1.6787213112586024,3.032521980060359,-13.465771812080538
43,$10^{-7}$/Mpc$^3$,SC,1.0,-10.100671140939596,3.4063889137851593,6.438910893845518,-13.700671140939596
44,$10^{-7}$/Mpc$^3$,SC,1.0,-10.335570469798657,7.073846205910256,13.512757099755774,-13.935570469798657
45,$10^{-7}$/Mpc$^3$,SC,1.0,-10.570469798657719,14.875294085307846,28.38805118506362,-14.170469798657718
46,$10^{-7}$/Mpc$^3$,SC,1.0,-10.80536912751678,31.28912707967875,59.677178264742366,-14.40536912751678
47,$10^{-7}$/Mpc$^3$,SC,1.0,-11.040268456375841,65.19540450847138,124.87258277321375,-14.640268456375841
48,$10^{-7}$/Mpc$^3$,SC,1.0,-11.275167785234899,133.6432336688307,258.51581644204447,-14.875167785234899
49,$10^{-7}$/Mpc$^3$,SC,1.0,-11.51006711409396,260.8053457646171,519.3211622066615,-15.11006711409396
